,source,disaster_type,report_dat,tags,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime
4010,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Salagedang,Cibeber,Cianjur,Jawa Barat,107.147953,-6.966828200000001,2021-10-28 01:21:08
4020,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Kedungumpul,Kandangan,Temanggung,Jawa Tengah,110.18216640000001,-7.2884382,2021-10-31 12:49:47
4023,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Sukahaji,Babakan Ciparay,Bandung,Jawa Barat,107.58175135,-6.92312517,2021-11-24 01:19:20
4044,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-SA"" }",Busisingo Utara,Sangkub,Bolaang Mongondow Utara,Sulawesi Utara,123.59012604,0.90214339,2021-05-11 03:23:13
4047,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Sukamulya,Karangtengah,Cianjur,Jawa Barat,107.17819703,-6.80038212,2021-02-11 08:52:25
4048,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Kademangan,Mande,Cianjur,Jawa Barat,107.20374141,-6.76865649,2021-02-11 08:56:03
4049,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Sawah Gede,Cianjur,Cianjur,Jawa Barat,107.13679855,-6.8258921,2021-09-11 15:02:12
4050,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Cibadak,Cibeber,Cianjur,Jawa Barat,107.13997159,-6.95204525,2021-07-11 11:21:26
4098,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-NB"" }",Cakranegara Timur,Cakranegara,Mataram,Nusa Tenggara Barat,116.12966716,-8.58766753,2021-02-11 06:56:33
4103,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Ketanggi,Ngawi,Ngawi,Jawa Timur,111.44459903,-7.4036113,2021-11-27 15:29:31
4136,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Manggong,Ngadirejo,Temanggung,Jawa Tengah,110.0614965,-7.23599334,2021-02-11 07:29:10
4137,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Padureso,Jumo,Temanggung,Jawa Tengah,110.11133194,-7.22795218,2021-11-24 03:13:05
4139,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Kaloran,Kaloran,Temanggung,Jawa Tengah,110.246703,-7.2492229,2021-01-12 16:08:40
4144,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Wanutengah,Parakan,Temanggung,Jawa Tengah,110.10705109999999,-7.2862539,2021-02-12 09:49:19
4145,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Petirejo,Ngadirejo,Temanggung,Jawa Tengah,110.06491899999999,-7.242938099999999,2021-02-12 09:54:53
4146,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Kaloran,Kaloran,Temanggung,Jawa Tengah,110.24823190000001,-7.2450453999999995,2021-02-12 09:58:32
4201,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 0 }","{ ""district_id"": ""3175"", ""local_area_id"": ""1869"", ""instance_region_code"": ""ID-JK"" }",Tugu Utara,Koja,Jakarta Utara,Daerah Khusus Ibukota Jakarta,106.9133881,-6.1269224,2021-12-17 08:02:28
4216,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BT"" }",Sukasari,Tangerang,Tangerang,Banten,106.6299775,-6.177697,2021-12-23 07:47:47
4217,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BT"" }",Sukasari,Tangerang,Tangerang,Banten,106.6334912,-6.1779583,2021-12-23 07:54:49
4218,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Blayu,Wajak,Malang,Jawa Timur,112.73101670000001,-8.116983,2021-12-24 21:47:00
4220,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Cicalengka Wetan,Cicalengka,Bandung,Jawa Barat,107.84951000000001,-6.9960631,2021-12-25 11:09:59
4221,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Sindangrasa,Bogor Timur,Bogor,Jawa Barat,106.8303283,-6.634361999999999,2021-12-25 16:58:54
4223,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Ciburuy,Cigombong,Bogor,Jawa Barat,106.80326699999999,-6.735744099999999,2021-12-26 05:57:00
