,source,disaster_type,report_dat,tags,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime
2770,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Krembangan,Taman,Sidoarjo,Jawa Timur,112.66657,-7.352939999999999,2021-01-21 11:19:52
2771,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Krembangan,Taman,Sidoarjo,Jawa Timur,112.6663,-7.35272,2021-01-21 11:25:43
2772,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 4, ""condition"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Krembangan,Taman,Sidoarjo,Jawa Timur,112.66621,-7.3525100000000005,2021-01-21 11:26:29
2776,grasp,earthquake,"{ ""points"": -1, ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Sukapura,Kiaracondong,Bandung,Jawa Barat,107.64971000000001,-6.942360000000001,2021-01-22 04:00:25
2784,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-SR"" }",Simboro,Simboro,Mamuju,Sulawesi Barat,118.86323999999999,-2.6794599999999997,2021-01-23 02:22:10
2785,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": ""3173"", ""local_area_id"": ""509"", ""instance_region_code"": ""ID-JK"" }",Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.82956000000001,-6.17429,2021-01-23 05:23:53
2797,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Wangunharja,Cikarang Utara,Bekasi,Jawa Barat,107.11788999999999,-6.29178,2021-01-27 12:03:40
2816,grasp,earthquake,"{ ""points"": -2, ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": ""3173"", ""local_area_id"": ""509"", ""instance_region_code"": ""ID-JK"" }",Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.82762,-6.17499,2021-01-30 09:11:07
3025,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-ST"" }",Kamonji,Palu Barat,Palu,Sulawesi Tengah,119.85013000000001,-0.89575,2021-02-14 03:58:04
3080,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 3, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-SU"" }",Aek Unsin,Borbor,Toba Samosir,Sumatera Utara,99.38061,2.1911,2021-02-17 04:38:42
