,source,disaster_type,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime,report_type,structureFailure,condition,points,accessabilityFailure
110,grasp,earthquake,Kerta Mandala,Abang,Karang Asem,Bali,115.61379009999999,-8.352511900000001,2021-10-19 13:01:14,structure,0,-1,-1,-1
111,grasp,earthquake,Tianyar Tengah,Kubu,Karang Asem,Bali,115.4463206,-8.2346498,2021-10-19 14:19:22,structure,2,-1,-1,-1
112,grasp,earthquake,Songan B,Kintamani,Bangli,Bali,115.4393018,-8.2196577,2021-10-19 14:21:46,structure,2,-1,-1,-1
113,grasp,earthquake,Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.8254972,-6.1814942,2021-10-19 13:31:51,structure,1,-1,-1,-1
114,grasp,earthquake,Datah,Abang,Karang Asem,Bali,115.56359520000001,-8.3458125,2021-10-19 15:27:45,structure,2,-1,-1,-1
115,grasp,earthquake,Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.82147169999999,-6.1786699,2021-10-19 23:30:56,structure,1,-1,-1,-1
116,grasp,earthquake,Purwakerti,Abang,Karang Asem,Bali,115.6329597,-8.3352635,2021-10-20 04:31:21,structure,1,-1,-1,-1
117,grasp,earthquake,Tiyingtali,Abang,Karang Asem,Bali,115.615654,-8.4045785,2021-10-20 03:12:54,road,-1,1,-1,2
118,grasp,earthquake,Abang,Abang,Karang Asem,Bali,115.5958179,-8.402391,2021-10-20 03:30:58,structure,1,-1,-1,-1
119,grasp,earthquake,Boroko,Kaidipang,Bolaang Mongondow Utara,Sulawesi Utara,123.25789509999998,0.9079756,2021-10-28 02:26:51,structure,2,-1,-1,-1
120,grasp,earthquake,Cileunyi Wetan,Cileunyi,Bandung,Jawa Barat,107.74815559,-6.96162023,2021-11-19 12:07:18,structure,1,-1,-1,-1
121,grasp,earthquake,Boroko,Kaidipang,Bolaang Mongondow Utara,Sulawesi Utara,123.25875878,0.90668828,2021-01-11 03:53:58,structure,1,-1,-1,-1
122,grasp,earthquake,Sawai,Seram Utara,Maluku Tengah,Maluku,129.18096994,-2.95867895,2021-04-11 04:29:08,structure,0,-1,1,-1
123,grasp,earthquake,Sidomulyo,Ungaran Timur,Semarang,Jawa Tengah,110.40478706,-7.13826052,2021-11-24 11:28:39,structure,2,-1,-1,-1
124,grasp,earthquake,Bonto Makkio,Rappocini,Makassar,Sulawesi Selatan,119.446106,-5.170275900000001,2021-12-14 03:36:13,structure,0,-1,-1,-1
125,grasp,earthquake,Gorontalo,Komodo,Manggarai Barat,Nusa Tenggara Timur,119.8828983,-8.499961599999999,2021-12-14 03:56:47,structure,0,-1,-1,-1
126,grasp,earthquake,Bajeng,Pattallassang,Takalar,Sulawesi Selatan,119.44301609999998,-5.415307,2021-12-14 04:14:09,structure,0,-1,-1,-1
127,grasp,earthquake,Pallantikang,Bantaeng,Bantaeng,Sulawesi Selatan,119.9484086,-5.545554900000001,2021-12-14 04:40:17,structure,0,-1,-1,-1
128,grasp,earthquake,Bonea,Pasimarannu,Kepulauan Selayar,Sulawesi Selatan,121.1491489,-7.3571591,2021-12-14 10:09:02,structure,1,-1,-1,-1
129,grasp,earthquake,Parhorasan,Pangururan,Samosir,Sumatera Utara,98.7555885,2.6480929,2021-12-17 08:29:40,road,-1,2,-1,4
