,source,disaster_type,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime,report_type,visibility,airQuality
0,grasp,haze,Madureso,Dawar Blandong,Mojokerto,Jawa Timur,112.4749,-7.348789999999999,2021-04-21 06:27:35,haze,0,1
1,grasp,haze,Ombolata Ulu,Gunung Sitoli,Gunungsitoli,Sumatera Utara,97.6080537,1.2997728000000002,2021-12-27 09:08:11,haze,0,1
