,Location,loc,point,lat,lon,altitude
184,"KOTA PROBOLINGGO,JAWA TIMUR","Mini Park Hutan Kota, Pilang, Probolinggo, Jawa Timur, Indonesia","(-7.758626899999999, 113.19281559118475, 0.0)",-7.758626899999999,113.19281559118475,0.0
185,"PROBOLINGGO,JAWA TIMUR","Probolinggo, Jawa Timur, Indonesia","(-7.86316, 113.30510534699638, 0.0)",-7.86316,113.30510534699638,0.0
186,"PROBOLINGGO,JAWA TIMUR","Probolinggo, Jawa Timur, Indonesia","(-7.86316, 113.30510534699638, 0.0)",-7.86316,113.30510534699638,0.0
187,"SERANG,BANTEN","Serang, Banten, Indonesia","(-6.10549695, 105.9884713457985, 0.0)",-6.10549695,105.9884713457985,0.0
188,"MOJOKERTO,JAWA TIMUR","Mojokerto, Jawa Timur, Indonesia","(-7.54133775, 112.50949745736571, 0.0)",-7.54133775,112.50949745736571,0.0
189,"CIAMIS,JAWA BARAT","Ciamis, Jawa Barat, 46211, Indonesia","(-7.3266611, 108.3530952, 0.0)",-7.3266611,108.3530952,0.0
190,"CIAMIS,JAWA BARAT","Ciamis, Jawa Barat, 46211, Indonesia","(-7.3266611, 108.3530952, 0.0)",-7.3266611,108.3530952,0.0
191,"BALANGAN,KALIMANTAN SELATAN","Balangan, Kalimantan Selatan, Indonesia","(-2.28789725, 115.62054766845205, 0.0)",-2.28789725,115.62054766845205,0.0
192,"JEMBER,JAWA TIMUR","Jember, Jawa Timur, Indonesia","(-8.1688563, 113.7021772, 0.0)",-8.1688563,113.7021772,0.0
193,"BOLAANG MONGONDOW,SULAWESI UTARA","Kantor Bupati Bolaang Mongondow, Trans Sulawesi, Dusun Empat Lolak, Sulawesi Utara, Indonesia","(0.87039265, 124.024471, 0.0)",0.87039265,124.024471,0.0
194,"KOTA PASURUAN,JAWA TIMUR","Taman Kota, Mayangan, Pasuruan, Jawa Timur, Indonesia","(-7.6450373, 112.90941697838772, 0.0)",-7.6450373,112.90941697838772,0.0
195,"ENREKANG,SULAWESI SELATAN","Enrekang, Tamendale, Sulawesi Selatan, Indonesia","(-3.4880125, 119.8658463, 0.0)",-3.4880125,119.8658463,0.0
